	CodigoMatricula	AreaPrograma	Cargo	NombrePais	VersionPrograma	Modalidad
4642	9774110A15556	Mantenimiento	Jefe	Perú	Sin Version	Online Asincronica
4643	9941030A15367	Seguridad Alimentaria	Supervisor	Perú	Basica	Online Asincronica
4644	9342648A17322	Construcción	Gerente General/ Apoderado	Perú	Sin Version	Online Asincronica
4645	9964027A18009	Marketing Digital	Jefe	Perú	Sin Version	Online Asincronica
4646	10320666A21258	Calidad	Gerente Adjunto	Perú	Profesional	Online Asincronica
4647	10361834A21258	Calidad	Coordinador	Perú	Profesional	Online Asincronica
4648	10158409A23047	Minería	Supervisor	Perú	Sin Version	Online Asincronica
4649	10422440A21258	Calidad	Jefe	Perú	Profesional	Online Asincronica
4650	9499612A21258	Calidad	Gerente General/ Apoderado	Perú	Gerencial	Online Asincronica
4651	26714A25709	Tecnologías de la Información	Analista	Perú	Gerencial	Online Sincronica
4652	18194A262721	Proyectos	Jefe	Perú	Gerencial	Online Sincronica
4653	20329A26641	Tecnologías de la Información	Analista	Perú	Gerencial	Online Sincronica
4654	168735A26641	Tecnologías de la Información	Analista	Perú	Gerencial	Online Sincronica
4655	9962016A25713	Proyectos	Superintendente	Perú	Gerencial	Online Sincronica
4656	9708291A15487	Construcción	Asistente	Perú	Sin Version	Online Asincronica
4657	95886A15367	Seguridad Alimentaria	Asistente	Perú	Profesional	Online Asincronica
4658	9829351A15367	Seguridad Alimentaria	Asesor Comercial	Perú	Sin Version	Online Asincronica
4659	10562A17322	Construcción	Supervisor	Perú	Sin Version	Online Asincronica
4660	10467233A21258	Calidad	Analista	Perú	Profesional	Online Asincronica
4661	10526046A21258	Calidad	Analista	Perú	Profesional	Online Asincronica
4662	10517358A25331	Calidad	Coordinador	Perú	Sin Version	Online Sincronica
4663	10567827A25331	Calidad	Asistente	Perú	Sin Version	Online Sincronica
4664	10601350A25709	Tecnologías de la Información	Analista	Perú	Profesional	Online Sincronica
4665	10084730A25331	Calidad	Coordinador	Perú	Sin Version	Online Sincronica
4666	10632930A25709	Tecnologías de la Información	Analista	Perú	Gerencial	Online Sincronica
4667	10626276A26034	Calidad	Analista	Perú	Profesional	Online Asincronica
4668	10685753A26641	Tecnologías de la Información	Consultor	Perú	Gerencial	Online Sincronica
4669	10115662A26641	Tecnologías de la Información	Operario	Perú	Gerencial	Online Sincronica
4670	10161579A26748	Proyectos		Perú	Gerencial	Online Sincronica
4671	10675346A26641	Tecnologías de la Información	Analista	Perú	Gerencial	Online Sincronica
4672	183625A26641	Tecnologías de la Información	Consultor	Perú	Gerencial	Online Sincronica
4673	10680844A26641	Tecnologías de la Información	Analista	Perú	Gerencial	Online Sincronica
4674	10685455A26641	Tecnologías de la Información	Coordinador	Perú	Gerencial	Online Sincronica
4675	10691528A26641	Tecnologías de la Información	Analista	Perú	Profesional	Online Sincronica
4676	10061911A25407	Proyectos	Jefe	Perú	Gerencial	Online Sincronica
