iter	F1	Logloss
105	0.6412877356	0.6549561326
106	0.6412877356	0.654956129
107	0.6436056226	0.6548716084
108	0.6436056226	0.6548603172
109	0.6445628359	0.654698457
110	0.6455615951	0.6546870272
111	0.6459583244	0.6545125215
112	0.6471312627	0.6544854119
113	0.648390312	0.6542160463
114	0.646267229	0.6540466417
115	0.651510836	0.6534745189
116	0.6479936913	0.6534389649
117	0.6498353899	0.6532513207
118	0.6498353899	0.6532513141
119	0.6498353899	0.6532513134
120	0.6498353899	0.6532513126
121	0.6516326557	0.6529875111
122	0.6482390394	0.6526061808
123	0.647503972	0.6523110037
124	0.648818632	0.652006216
125	0.6486847879	0.6516894305
126	0.6491758198	0.6512550679
127	0.6479053303	0.6512211717
128	0.6526609446	0.6509987927
129	0.6526609446	0.6509987924
130	0.6526609446	0.650945657
131	0.6501601173	0.6505659473
132	0.6501153117	0.6505659407
133	0.6488885264	0.6498027782
134	0.6478384164	0.64972391
135	0.6479726615	0.6492784824
136	0.6473676883	0.6491299539
137	0.6468501324	0.6486810512
138	0.6468501324	0.648681044
139	0.6468501324	0.6486799432
140	0.6457920125	0.6484233024
141	0.6474787087	0.6482866797
142	0.6486695001	0.6480466699
143	0.6527242822	0.647747935
144	0.6521827786	0.6476591389
145	0.651687189	0.6476190475
146	0.6509089325	0.6475135135
147	0.6513145244	0.64741867
148	0.6513145244	0.647418667
149	0.6513145244	0.6474186606
150	0.6508638979	0.6473617176
151	0.6508638979	0.6473547005
152	0.6587013674	0.6470853405
153	0.6587921002	0.6469087664
154	0.6600988881	0.6467913229
155	0.6561732482	0.6462246433
156	0.6560371132	0.6460650873
157	0.6579879656	0.6459387788
158	0.6628166373	0.6456131209
159	0.6591643296	0.6453335073
160	0.6616926962	0.6447712441
161	0.6653581628	0.6444495678
162	0.6651746044	0.6442661239
163	0.6653122637	0.6442075114
164	0.6656796337	0.6441436108
165	0.6651746044	0.6436501747
166	0.663064956	0.64294669
167	0.6636398452	0.6424216783
168	0.6635482766	0.6423911032
169	0.6639147024	0.641999851
170	0.6637314389	0.6419344929
171	0.6663864704	0.6416482973
172	0.6682862565	0.6413245256
173	0.6708848616	0.6410665675
174	0.6667841821	0.6408094348
175	0.6641668686	0.6403944063
176	0.6646270806	0.6398134179
177	0.6645349872	0.6396563409
178	0.665246395	0.6395731533
179	0.6662774761	0.639122679
180	0.6707925474	0.6389033679
181	0.6709310282	0.6386624698
182	0.6720425462	0.638172184
183	0.6704637887	0.6380614103
184	0.6764293838	0.6376306085
185	0.6762437239	0.6373427024
186	0.6755562408	0.6368962863
187	0.6787889196	0.6363662287
188	0.6815499884	0.6357953324
189	0.681690292	0.6356179596
190	0.6818774533	0.6351960894
191	0.6822989423	0.6349400877
192	0.6808246541	0.6348120339
193	0.6745050411	0.6342622431
194	0.6781664846	0.6334880904
195	0.6781664846	0.6330881734
196	0.6789159775	0.6328526874
197	0.6789159775	0.6328526623
198	0.6823719971	0.6322055187
199	0.6814571352	0.6320575034
